,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,59,35,740,942,0,983,656,253,505,674,42,900,399,44,629,18,452,19,87,932,491,39,255,949,521,387,726,703,940,593,877,603,469,357,162,561,535,1055,407,448
1,0,59,35,87,491,448,416,399,42,253,656,44,505,674,18,39,452,19,387,255,629,357,162,60,535,407,107,561,409,534,126,37,298,703,1055,612,185,323,270,631
2,561,35,607,719,170,253,674,399,656,19,0,505,409,452,162,39,44,42,631,219,59,87,255,705,18,387,389,653,357,629,851,535,703,117,81,603,407,593,491,740
3,59,35,469,479,656,253,18,505,674,42,0,399,44,87,19,629,491,452,39,255,387,357,183,535,126,726,407,416,593,162,635,932,561,54,877,603,692,185,448,37
4,469,59,49,35,656,19,18,505,87,674,452,44,399,253,726,0,629,39,491,357,54,255,535,37,407,603,387,162,448,189,126,561,102,475,692,132,23,42,450,932
5,253,35,399,605,162,0,255,42,674,19,656,18,59,44,505,39,166,387,561,87,409,219,99,452,323,126,189,603,629,271,235,190,232,631,117,270,535,180,491,407
6,1131,0,1138,35,1118,162,1098,656,42,1096,674,59,1134,1121,946,1010,1091,1095,253,44,658,188,871,990,890,1052,892,1093,1170,715,1055,1132,827,851,1051,1117,168,387,126,1108
7,498,35,19,505,126,253,535,387,553,674,399,452,44,39,407,561,491,701,448,656,751,255,853,612,445,185,42,703,0,534,629,87,162,409,323,416,513,37,59,425
8,35,674,629,253,399,0,656,42,19,505,593,59,44,255,731,663,211,39,387,162,452,183,216,956,87,18,948,185,535,561,635,527,54,726,978,703,643,491,631,407
9,253,42,162,35,44,399,0,19,255,18,674,505,59,39,656,452,357,387,185,166,37,87,54,270,581,115,407,126,491,48,561,102,99,409,323,305,535,219,41,389
10,35,674,399,42,44,255,505,253,0,656,19,653,59,166,387,39,452,162,305,185,18,663,48,629,357,87,593,407,491,535,705,648,54,561,37,603,703,323,655,631
11,416,129,35,222,253,19,399,674,215,44,59,87,18,387,42,656,452,505,530,39,219,0,255,407,126,185,162,389,233,37,305,409,357,117,115,168,629,491,271,166
12,290,253,204,35,399,96,398,269,674,232,323,238,82,185,216,235,75,255,612,62,425,387,357,279,505,12,635,37,189,246,42,581,78,354,287,87,98,389,222,132
13,653,41,660,35,185,683,42,253,54,452,44,674,128,505,19,162,0,387,612,102,233,656,399,25,389,323,36,703,357,685,255,407,851,39,663,23,115,635,629,227
14,0,534,35,1077,253,674,399,656,710,42,505,44,255,1169,59,19,1055,403,387,452,629,1134,491,561,519,18,162,278,39,87,653,851,631,1010,877,943,357,1129,635,703
15,35,253,0,162,674,399,42,19,37,44,219,255,656,59,39,238,505,18,387,185,227,452,87,561,204,166,54,126,233,357,409,323,66,407,389,491,117,232,208,305
16,54,28,35,185,42,44,19,253,162,255,41,23,674,452,37,505,399,59,102,87,128,407,357,115,654,387,25,535,180,39,653,271,18,132,88,323,99,685,233,0
17,253,35,399,162,0,255,42,19,674,656,18,59,44,505,39,166,387,561,409,87,219,323,126,452,189,99,190,271,232,235,603,185,117,180,305,631,270,407,629,37
18,42,44,35,54,323,253,48,162,115,448,19,0,505,452,185,425,387,581,39,656,674,357,399,59,87,255,18,407,66,37,491,527,1117,535,653,871,629,41,305,612
19,65,841,660,35,864,896,0,840,674,253,653,399,44,42,19,656,185,851,505,255,54,452,387,162,852,39,59,629,41,389,48,409,561,128,740,631,703,18,705,827
20,823,611,35,0,674,656,253,603,399,505,631,452,42,616,255,19,804,561,705,37,612,851,535,703,357,610,117,491,583,387,635,629,827,740,940,853,59,877,648,778
21,0,35,635,253,674,399,656,795,798,42,59,33,567,44,505,19,629,452,255,18,596,387,534,691,240,1077,561,410,1055,603,491,653,162,851,631,87,357,535,804,37
22,625,35,255,653,99,635,674,505,399,253,593,607,387,452,603,629,656,0,42,536,44,534,605,516,561,626,384,59,610,581,689,585,416,631,731,305,37,188,190,82
23,139,35,656,387,399,189,87,39,59,534,305,255,505,253,452,68,262,674,126,19,145,44,166,629,42,416,21,491,137,0,161,877,210,339,409,135,224,434,407,18
24,98,112,204,35,82,253,42,19,44,232,185,399,238,39,78,387,162,126,97,18,255,369,117,48,128,96,59,87,389,323,674,41,12,54,62,0,452,168,37,36
25,613,35,19,561,404,505,705,608,606,629,409,603,452,162,219,108,599,655,631,597,587,253,570,612,614,731,535,0,718,639,42,593,674,65,656,168,255,707,44,888
26,448,35,87,39,399,656,505,629,452,253,42,44,59,674,409,387,18,0,19,255,491,416,162,535,262,357,472,686,107,561,534,529,740,612,339,603,323,653,425,407
27,656,416,35,830,0,674,505,253,629,59,399,42,44,18,255,452,39,87,387,19,703,804,1055,535,561,491,448,932,407,851,686,357,603,631,635,593,877,162,612,740
28,253,35,448,875,399,0,450,674,42,553,19,656,162,867,255,59,505,44,39,87,18,387,452,629,636,561,603,409,535,37,491,166,407,185,99,126,534,631,357,323
29,851,398,35,253,674,399,0,255,228,656,505,42,162,19,452,39,387,44,873,731,827,561,232,185,703,491,535,663,18,389,425,653,59,41,631,848,826,126,629,877
